==================================
           facebook.com
==================================
Source -> Destination
Loris.local -> www-slb-10-09-frc1.facebook.com
www-slb-10-09-frc1.facebook.com -> Loris.local
Loris.local -> www.facebook.com
www.facebook.com -> Loris.local
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a749.dsw4.akamai.net
a749.dsw4.akamai.net -> Loris.local
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a998.dspmm1.akamai.net
Loris.local -> a997.dspmm1.akamai.net
a749.dsw4.akamai.net -> Loris.local
Loris.local -> a996.dspmm1.akamai.net
Loris.local -> a996.dspmm1.akamai.net
Loris.local -> a749.dsw4.akamai.net
Loris.local -> a995.dspmm1.akamai.net
a749.dsw4.akamai.net -> Loris.local
Loris.local -> a749.dsw4.akamai.net
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a749.dsw4.akamai.net -> Loris.local
a998.dspmm1.akamai.net -> Loris.local
a997.dspmm1.akamai.net -> Loris.local
a996.dspmm1.akamai.net -> Loris.local
a995.dspmm1.akamai.net -> Loris.local
a996.dspmm1.akamai.net -> Loris.local
Loris.local -> secure-us.imrworldwide.com
secure-us.imrworldwide.com -> Loris.local
Loris.local -> www.facebook.com
www.facebook.com -> Loris.local
==================================
           google.com
==================================
Loris.local -> google.com
google.com -> Loris.local
Loris.local -> www.google.com
www.google.com -> Loris.local
Loris.local -> www.google.se
www.google.se -> Loris.local
Loris.local -> www.google.se
Loris.local -> ssl.gstatic.com
www.google.se -> Loris.local
Loris.local -> www.google.se
Loris.local -> www.google.se
Loris.local -> www.google.se
Loris.local -> www.google.se
www.google.se -> Loris.local
www.google.se -> Loris.local
ssl.gstatic.com -> Loris.local
www.google.se -> Loris.local
www.google.se -> Loris.local
==================================
           youtube.com
==================================
Loris.local -> clients-cctld.l.google.com
clients-cctld.l.google.com -> Loris.local
Loris.local -> google.com
google.com -> Loris.local
Loris.local -> google.com
google.com -> Loris.local
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
Loris.local -> google.com
google.com -> Loris.local
google.com -> Loris.local
Loris.local -> arn06s02-in-f27.1e100.net
Loris.local -> google.com
google.com -> Loris.local
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
arn06s02-in-f27.1e100.net -> Loris.local
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
google.com -> Loris.local
google.com -> Loris.local
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
Loris.local -> google.com
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
google.com -> Loris.local
Loris.local -> pagead.l.doubleclick.net
pagead.l.doubleclick.net -> Loris.local
Loris.local -> google.com
==================================
           yahoo.com
==================================
google.com -> Loris.local
Loris.local -> csi.gstatic.com
Loris.local -> ir1.fp.vip.ne1.yahoo.com
ir1.fp.vip.ne1.yahoo.com -> Loris.local
csi.gstatic.com -> Loris.local
Loris.local -> ds-eu-fp3.wa1.b.yahoo.com
ds-eu-fp3.wa1.b.yahoo.com -> Loris.local
Loris.local -> ds-eu-ycpi-uno.aycpi.b.yahoodns.net
ds-eu-ycpi-uno.aycpi.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
Loris.local -> any-world.ngd.ysm.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
Loris.local -> ds-fo-anyycs-l.ay1.b.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
any-world.ngd.ysm.yahoodns.net -> Loris.local
Loris.local -> any-world.ngd.ysm.yahoodns.net
ds-fo-anyycs-l.ay1.b.yahoodns.net -> Loris.local
any-world.ngd.ysm.yahoodns.net -> Loris.local
Loris.local -> cookex1.ads.adx.vip.ch1.yahoo.com
Loris.local -> bs1.ads.vip.ch1.yahoo.com
cookex1.ads.adx.vip.ch1.yahoo.com -> Loris.local
Loris.local -> any-world.ngd.ysm.yahoodns.net
